zcta,full_name,median_household_income,per_capita_income
94102,ZCTA5 94102,60431,62708
94103,ZCTA5 94103,116438,85640
94104,ZCTA5 94104,,80845
94105,ZCTA5 94105,225000,197122
94107,ZCTA5 94107,182897,123596
94108,ZCTA5 94108,65388,66952
94109,ZCTA5 94109,106018,95004
94110,ZCTA5 94110,158351,96546
94111,ZCTA5 94111,152697,108952
94112,ZCTA5 94112,135119,54924
94114,ZCTA5 94114,204134,146284
94115,ZCTA5 94115,151524,115993
94116,ZCTA5 94116,158921,76447
94117,ZCTA5 94117,167066,122043
94118,ZCTA5 94118,163995,108384
94121,ZCTA5 94121,133358,88205
94122,ZCTA5 94122,146250,78542
94123,ZCTA5 94123,218603,170097
94124,ZCTA5 94124,80509,43760
94127,ZCTA5 94127,214167,113454
94128,ZCTA5 94128,,
94129,ZCTA5 94129,220972,100874
94130,ZCTA5 94130,93269,47730
94131,ZCTA5 94131,199211,119085
94132,ZCTA5 94132,112292,62832
94133,ZCTA5 94133,87191,80903
94134,ZCTA5 94134,119567,49891
94158,ZCTA5 94158,196506,121944
94188,ZCTA5 94188,,
